GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Employee,com.xebia.training,EmployeeApplication,99,0,0,0,19,0,3,0,3,0
Employee,com.xebia.training,EmployeeData.designation,0,78,0,0,0,7,0,4,0,4
Employee,com.xebia.training,Salary,185,152,11,11,40,24,28,4,17,4
Employee,com.xebia.training,projectread,61,105,15,5,10,20,10,6,2,4
Employee,com.xebia.training,Address,142,150,11,11,34,27,28,4,17,4
Employee,com.xebia.training,Department,97,90,20,10,17,16,24,4,9,4
Employee,com.xebia.training,salaryread,61,81,15,5,10,20,10,6,2,4
Employee,com.xebia.training,Address.addresstype,0,48,0,0,0,4,0,4,0,4
Employee,com.xebia.training,PersonalDetails.maritialStatus,0,48,0,0,0,4,0,4,0,4
Employee,com.xebia.training,EmployeeObjectRead,81,205,4,0,17,54,3,10,1,10
Employee,com.xebia.training,contactread,61,88,15,5,10,20,10,6,2,4
Employee,com.xebia.training,departmentread,61,96,15,5,10,20,10,6,2,4
Employee,com.xebia.training,Contact,66,71,10,6,13,14,15,4,7,4
Employee,com.xebia.training,personalread,61,154,15,5,10,30,10,6,2,4
Employee,com.xebia.training,Project,71,145,18,14,17,22,27,4,11,4
Employee,com.xebia.training,PersonalDetails,286,239,47,21,49,40,59,5,25,5
Employee,com.xebia.training,EmployeeData,58,65,8,6,15,12,15,3,8,3
Employee,com.xebia.training,employeeread,78,82,15,5,11,21,11,6,3,4
Employee,com.xebia.training,EmployeeObjectRead.new Callable() {...},0,52,0,0,0,5,0,2,0,2
Employee,com.xebia.training,Addressread,61,125,15,5,10,28,10,6,2,4
Employee,com.xebia.training,Employee,194,143,44,16,36,20,48,3,18,3
